name,stars,num_reviews,price,cuisine
Bourbon Street Bar & Grille,4 of 5 bubbles,791 reviews,$$ - $$$,American
Andrew's Coffee Shop,4 of 5 bubbles,"1,042 reviews",$,American
Ipanema Restaurant,4.5 of 5 bubbles,542 reviews,$$ - $$$,Latin
Natsumi,4.5 of 5 bubbles,617 reviews,$$ - $$$,Japanese
Bubby's,4 of 5 bubbles,"1,079 reviews",$$ - $$$,Barbecue
Carve Unique Sandwiches,4.5 of 5 bubbles,861 reviews,$,Italian
Tir na Nog - Times Square,4.5 of 5 bubbles,542 reviews,$$ - $$$,American
Hangawi,4.5 of 5 bubbles,493 reviews,$$$$,Asian
Asiate,4.5 of 5 bubbles,897 reviews,$$$$,Vegetarian Friendly
Balthazar,4.5 of 5 bubbles,"5,178 reviews",$$$$,French
Scotty's Diner,4.5 of 5 bubbles,"1,409 reviews",$,American
Nobu,4.5 of 5 bubbles,"1,278 reviews",$$$$,Japanese
Fig & Olive Fifth Avenue,4 of 5 bubbles,"1,029 reviews",$$ - $$$,Italian
Pepolino,4.5 of 5 bubbles,511 reviews,$$ - $$$,Italian
Aureole,4.5 of 5 bubbles,937 reviews,$$$$,American
The Perfect Pint,4.5 of 5 bubbles,939 reviews,$$ - $$$,American
Molyvos,4.5 of 5 bubbles,828 reviews,$$ - $$$,Mediterranean
Scarpetta,4.5 of 5 bubbles,646 reviews,$$$$,Italian
Cuba,4.5 of 5 bubbles,348 reviews,$$ - $$$,Latin
Trattoria Dell'Arte,4 of 5 bubbles,"1,371 reviews",$$ - $$$,Italian
New York Luncheonette,4 of 5 bubbles,694 reviews,$,American
Sparks Steak House,4 of 5 bubbles,"1,079 reviews",$$$$,American
Red Cat,4.5 of 5 bubbles,492 reviews,$$ - $$$,American
O'Lunney's,4 of 5 bubbles,771 reviews,$$ - $$$,American
Mogador Cafe,4.5 of 5 bubbles,459 reviews,$$ - $$$,Moroccan
Avra Estiatorio,4.5 of 5 bubbles,819 reviews,$$$$,Seafood
Fig & Olive,4 of 5 bubbles,975 reviews,$$ - $$$,Italian
P.J. Clarke's,4 of 5 bubbles,"1,269 reviews",$$ - $$$,American
Nougatine at Jean Georges,4 of 5 bubbles,907 reviews,$$$$,French
Pershing Square,4 of 5 bubbles,"1,862 reviews",$$ - $$$,American
The Irish Pub,4 of 5 bubbles,631 reviews,$$ - $$$,American
Hummus Place Upper West Side,4.5 of 5 bubbles,203 reviews,$,Mediterranean
Benjamin Steakhouse,4.5 of 5 bubbles,"1,898 reviews",$$$$,American
Glass House Tavern,4 of 5 bubbles,610 reviews,$$ - $$$,American
The Top of The Standard,4.5 of 5 bubbles,631 reviews,$$$$,
21 Club,4 of 5 bubbles,"1,005 reviews",$$$$,American
The Loeb Boathouse at Central Park,4 of 5 bubbles,"2,695 reviews",$$ - $$$,American
BG - Bergdorf Goodman,4.5 of 5 bubbles,374 reviews,$$$$,American
Lupa,4 of 5 bubbles,790 reviews,$$ - $$$,Italian
The Smith,4 of 5 bubbles,720 reviews,$$ - $$$,American
Republic,4 of 5 bubbles,433 reviews,$$ - $$$,Chinese
Freemans Restaurant,4 of 5 bubbles,524 reviews,$$ - $$$,American
Eisenberg's Sandwich Shop,4.5 of 5 bubbles,416 reviews,$,American
